product_id,product_name,temperature_zone,category_l1,category_l2,category_l3,external_category,match_method,match_confidence
GS000344291,小炒肉优-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000091186,广福腊肠（切片）优-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000466839,手擀面72-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000468730,把子肉嫩-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000344304,招牌炒香辣椒段油级-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000466979,招牌赤豆酒酿-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000344318,招牌香菇肉燥-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000472966,改良【天第食圣】手擀面3.75精选-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000474906,改良回单版-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000522580,改良江四爷非遗腊八豆（原味）优选-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000387586,改良牛大骨15kg型-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000344293,椒香小酥肉优-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000387799,油炸四季豆,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000366414,油炸茄子（新箱规15kg）嫩-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000460134,油豆腐嫩-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000344303,洋葱碎优-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000036929,湖湘风味香肠优-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000287913,火山石烤肠(黑胡椒味)嫩-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000337744,特选C1级干鹿茸菇精选-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000031756,特选内托-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000344283,特选冒辣椒油-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000390584,特选香菇肉燥15kg-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000337976,狮子头品-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000524468,甄选五花肉片-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000353812,甄选干黑木耳丝版-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000344266,甄选泡椒肉丝-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000090845,甄选生抽-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000012829,瘦肉片版-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000012840,窖香脆卜装-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000231760,竹蔗茅包/件【泡沫箱装】,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000189143,精品【总部补贴】客户3-全鸡随餐卡片500个/捆型-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000034703,精品免摘黑木耳优-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000387967,精品客户3-仙草凉茶1L*12瓶/件精选-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000187876,精品客户3-长条形食安封签-2000贴/卷（拆零）精选-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000512473,精品小炒肉SX版-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000398791,精品鲜拉面12.8kg-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000389362,精炼牛油款-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000320124,精选油炸腐竹优选-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000380410,精选泡椒肉丝220g（比老款每箱优惠16元，操作方法一样）品-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000012793,精选超甜嫩青豆-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000522673,红烧香菇29-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000344259,红豆汤100G,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000117739,经典客户3-夏季T恤XXL码（拆零）优选-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000526447,经典客户3-炸鸡桶-500个/件-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000344258,经典香辣纯红油（通用）版-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000034841,肥膘片嫩-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000468733,虎皮卷煎优选-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000023872,调理鸡,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000014771,豆干（1KG/包）品-BW,冷藏,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000033670,酸卜鲜-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000522592,雪里蕻41-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000012820,非转基因食用植物调和油57-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000344270,鲜湿面,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000012803,鸡胗片,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
